TV,Radio,Social Media,Influencer,Sales,ROI
16.0,6.566230788,2.907982773,Mega,54.73275715,2.1485553231678036
13.0,9.237764567,2.409567204,Mega,46.67789698,1.8938316493520455
41.0,15.88644602,2.913410175,Mega,150.1778288,2.5113409689529766
83.0,30.02002826,6.922303959,Mega,298.2463398,2.4865811284662924
15.0,8.437407682,1.40599815,Micro,56.5941808,2.278036320088723
29.0,9.614382036,1.02716349,Mega,105.8891476,2.6711659748621477
55.0,24.89381148,4.273602146,Micro,198.6798248,2.360531424701236
31.0,17.35504181,2.289854925,Nano,108.7339319,2.1469869406378996
76.0,24.64889821,7.130115956,Macro,270.1894,2.5068832006930157
13.0,0.431127823,2.229423022,Mega,48.28058223,3.082942784570998
62.0,24.34518879,5.151483172,Nano,224.9610192,2.458679800872209
42.0,15.8073374,3.194924641,Mega,145.5439916,2.385878600734166
64.0,20.24042393,3.921147972,Micro,229.6323807,2.604676569914819
0.0,22.35166709,3.031815334,Mega,276.1653513,10.879726693406203
34.0,0.226326491,2.372705624,Nano,121.3364193,3.315290385787843
36.0,3.90019598,0.060401795,Nano,123.5261126,3.0911978167974246
60.0,22.35372075,0.940801841,Mega,212.7643968,2.554362402012125
25.0,9.905842649,1.853224897,Micro,89.8199226,2.4434766330130677
100.0,36.11609149,3.67429598,Macro,353.8046387,2.5309654340569656
92.0,40.73698967,4.636563904,Nano,329.3505396,2.397481400396229
46.0,12.69509229,3.88458384,Macro,162.1913335,2.591757316913427
78.0,35.56822382,2.832450089,Macro,276.4013399,2.3745682101126464
37.0,2.828972458,4.556701242,Micro,128.4846619,2.8947327186789997
99.0,37.26381865,6.88653481,Nano,349.8615752,2.444014749134103
75.0,20.34898797,1.227180495,Micro,272.2501078,2.8190195586260574
54.0,27.807614,4.060781965,Nano,192.4619083,2.2413590720670684
0.0,34.11167359,4.624148295,Nano,342.9133724,8.852616408089931
27.0,7.280088955,2.179478014,Micro,96.74937343,2.653607310044627
21.0,9.282685174,3.055758381,Mega,76.99292807,2.3094337905421756
40.0,13.05041081,1.971184795,Nano,139.2887894,2.5315294452737094
67.0,24.13761593,5.573093351,Mega,234.8510253,2.4283869598931727
90.0,29.02101661,6.431995293,Micro,323.0321827,2.5749256857202263
12.0,3.567660711,3.558311365,Nano,40.79219533,2.1328168402581538
81.0,27.33577511,5.263650376,Micro,290.7775735,2.559674683705469
43.0,16.34871104,2.814013458,Mega,150.6264947,2.423099951239206
47.0,17.37652562,1.905040273,Mega,161.7851523,2.4408770390424066
43.0,18.23019243,4.079293023,Nano,155.5991953,2.3824899893289926
75.0,23.62623841,6.199769157,Mega,263.0206872,2.5091167097238647
79.0,23.51057067,2.188926056,Macro,281.5789422,2.6894011051160627
65.0,24.56354623,3.41966808,Macro,231.6700477,2.4915254803692535
43.0,12.84212842,2.593697318,Macro,148.7069665,2.544791052782162
82.0,27.64758545,5.611221835,Macro,294.9524151,2.559044484736618
68.0,21.63920124,3.223647705,Micro,242.8248811,2.6148764964535838
98.0,37.57095206,8.529604366,Mega,351.7730679,2.441163841588954
26.0,10.59953251,0.679275349,Macro,91.92229739,2.465805712931556
10.0,6.145248262,1.591116473,Macro,32.56682505,1.8361612166068257
0.0,34.85963715,7.781416681,Mega,318.9697838,7.480344765028049
32.0,0.627618771,2.676075167,Micro,115.2625668,3.2648868699808857
29.0,8.852094414,0.041494349,Macro,101.8731014,2.6883994027894973
32.0,11.52414895,2.566791358,Mega,111.8997121,2.427802760200524
29.0,14.4341063,0.463277331,Macro,104.3526653,2.377195556281558
91.0,40.10852728,7.236170474,Mega,326.3817124,2.359192059390388
83.0,34.28141179,8.697487404,Nano,300.7305325,2.387150026107887
72.0,23.92269582,3.373809656,Mega,255.1551652,2.569628850248623
47.0,24.16913194,2.087910259,Micro,161.7170871,2.2075295732074687
10.0,3.455868379,2.400118071,Micro,39.62567824,2.4990988964928134
49.0,10.06762616,1.729667405,Macro,169.0081129,2.7798624410691724
14.0,5.197856187,0.413965989,Mega,50.98848158,2.599884963386892
20.0,10.75005058,2.442173814,Macro,70.47172273,2.123139500790397
17.0,10.44745162,3.356106421,Nano,58.59009126,1.9020559632109935
68.0,29.8927411,6.096743741,Mega,237.7721637,2.28650198684563
91.0,25.04555745,6.109369688,Macro,322.1004964,2.636819520477622
52.0,17.11323977,2.638642418,Mega,181.0796122,2.5236914583724226
41.0,3.921540021,2.527850591,Nano,145.9192,3.0752597265832295
65.0,11.65648785,0.358471532,Micro,228.5646491,2.9677954897866288
82.0,31.60769079,3.952448108,Mega,288.9822393,2.458165174087901
14.0,18.64944183,4.529927084,Mega,49.81567405,1.339874115809474
84.0,31.26640836,8.080731556,Nano,299.099052,2.4248559975017487
99.0,30.14056912,6.546158024,Mega,351.3598902,2.589493442694015
15.0,2.234293408,1.07771826,Mega,55.00971238,3.0040234452301466
64.0,24.69852188,6.741382758,Micro,223.0991462,2.337587689826459
70.0,15.2477262,4.587703384,Macro,247.1394014,2.751023761387082
77.0,26.82235002,5.514187222,Nano,274.7071,2.5124913128717177
81.0,20.39194685,3.212250256,Macro,289.1757587,2.764475677844605
46.0,17.79013454,4.117631989,Micro,168.0365387,2.4744818934405686
0.0,6.48229344,0.866844994,Macro,91.17721555,12.406517630444734
56.0,25.27608704,3.239265214,Mega,198.3215216,2.346573921906759
98.0,33.05515873,6.063457718,Mega,349.7452965,2.5506769653895622
47.0,18.2339617,0.827545346,Mega,166.1372196,2.5148869141649346
18.0,8.808702773,2.414186295,Nano,59.28931563,2.028865643367332
77.0,22.9553127,2.642504816,Mega,272.6321364,2.657289823513871
22.0,6.041725794,2.136632357,Mega,77.41731834,2.5653257195979915
99.0,37.7178052,3.590086383,Nano,349.4239745,2.490408561896863
36.0,9.096779889,3.81883449,Mega,127.0926738,2.598202545618281
