TV,Radio,Social Media,Sales,ROI,Influencer_Mega,Influencer_Micro,Influencer_Nano
16.0,6.566230788,2.907982773,54.73275715,2.1485553231678036,True,False,False
13.0,9.237764567,2.409567204,46.67789698,1.8938316493520455,True,False,False
41.0,15.88644602,2.913410175,150.1778288,2.5113409689529766,True,False,False
83.0,30.02002826,6.922303959,298.2463398,2.4865811284662924,True,False,False
15.0,8.437407682,1.40599815,56.5941808,2.278036320088723,False,True,False
29.0,9.614382036,1.02716349,105.8891476,2.6711659748621477,True,False,False
55.0,24.89381148,4.273602146,198.6798248,2.360531424701236,False,True,False
31.0,17.35504181,2.289854925,108.7339319,2.1469869406378996,False,False,True
76.0,24.64889821,7.130115956,270.1894,2.5068832006930157,False,False,False
13.0,0.431127823,2.229423022,48.28058223,3.082942784570998,True,False,False
62.0,24.34518879,5.151483172,224.9610192,2.458679800872209,False,False,True
42.0,15.8073374,3.194924641,145.5439916,2.385878600734166,True,False,False
64.0,20.24042393,3.921147972,229.6323807,2.604676569914819,False,True,False
53.0,22.35166709,3.031815334,276.1653513,3.5232595281508154,True,False,False
34.0,0.226326491,2.372705624,121.3364193,3.315290385787843,False,False,True
36.0,3.90019598,0.060401795,123.5261126,3.0911978167974246,False,False,True
60.0,22.35372075,0.940801841,212.7643968,2.554362402012125,True,False,False
25.0,9.905842649,1.853224897,89.8199226,2.4434766330130677,False,True,False
100.0,36.11609149,3.67429598,353.8046387,2.5309654340569656,False,False,False
92.0,40.73698967,4.636563904,329.3505396,2.397481400396229,False,False,True
46.0,12.69509229,3.88458384,162.1913335,2.591757316913427,False,False,False
78.0,35.56822382,2.832450089,276.4013399,2.3745682101126464,False,False,False
37.0,2.828972458,4.556701242,128.4846619,2.8947327186789997,False,True,False
99.0,37.26381865,6.88653481,349.8615752,2.444014749134103,False,False,True
75.0,20.34898797,1.227180495,272.2501078,2.8190195586260574,False,True,False
54.0,27.807614,4.060781965,192.4619083,2.2413590720670684,False,False,True
53.0,34.11167359,4.624148295,342.9133724,3.738053089335986,False,False,True
27.0,7.280088955,2.179478014,96.74937343,2.653607310044627,False,True,False
21.0,9.282685174,3.055758381,76.99292807,2.3094337905421756,True,False,False
40.0,13.05041081,1.971184795,139.2887894,2.5315294452737094,False,False,True
67.0,24.13761593,5.573093351,234.8510253,2.4283869598931727,True,False,False
90.0,29.02101661,6.431995293,323.0321827,2.5749256857202263,False,True,False
12.0,3.567660711,3.558311365,40.79219533,2.1328168402581538,False,False,True
81.0,27.33577511,5.263650376,290.7775735,2.559674683705469,False,True,False
43.0,16.34871104,2.814013458,150.6264947,2.423099951239206,True,False,False
47.0,17.37652562,1.905040273,161.7851523,2.4408770390424066,True,False,False
